title,url,description,genres
We Are Family,https://www.metacritic.com/tv/we-are-family/,"Contestants can win up to $150,000 if they can guess which celebrity the performer is related to in this musical game show hosted by Anthony Anderson and his mother Doris.","['Game-Show', '', 'Game-Show']"
The Floor,https://www.metacritic.com/tv/the-floor/,"Rob Lowe hosts the game show that features 81 contestants competing for a $250,000 prize.","['Game-Show', '', 'Game-Show']"
Fool Me Once,https://www.metacritic.com/tv/fool-me-once/,"Set in England, Maya Stern (Michelle Keegan) is still recovering from the murder of her husband (Richard Armitage), when she sees him in her nanny-cam footage. Meanwhile, her niece and nephew are looking into their mother's death in this thriller based on Harlan Coben's novel of the same name.","['Crime', 'Drama', 'Mystery', 'Thriller', '', '', '', '', 'Crime', 'Drama', 'Mystery', 'Thriller']"
America's Got Talent: Fantasy League,https://www.metacritic.com/tv/americas-got-talent-fantasy-league/,"The latest America's Got Talent spin-off has each judge selecting 10 acts from the Got Talent franchises to be part of their fantasy league. The winning act wins $250,000 and the judge with the champion in their roster receive bragging rights.","['Music', 'Reality-TV', '', '', 'Music', 'Reality-TV']"
Pokémon Concierge,https://www.metacritic.com/tv/pokemon-concierge/,"Haru, a new concierge at the Pokémon Resort, helps the guests enjoy their stay in this stop-motion series.","['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', '', '', '', '', '', 'Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
Extended Family,https://www.metacritic.com/tv/extended-family/,"Though divorced, Jim (Jon Cryer) and Julia (Abigail Spencer) co-parent by taking turns staying with their kids, but then Julia falls in love with Trey (Donald Faison) in this comedy series created by Mike O'Malley.","['Comedy', '', 'Comedy']"
Gyeongseong Creature,https://www.metacritic.com/tv/gyeongseong-creature/,"Set in 1945, with the help of detective Yoon Chae-ok (Han So-hee), pawn shop owner Jang Tae-sang (Park Seo-jun) must find Commissioner Ishikawa's lover at Gyeongseong's Ongseong Hospital in this South Korean series.","['Action', 'Drama', 'History', 'Horror', 'Mystery', 'Thriller', '', '', '', '', '', '', 'Action', 'Drama', 'History', 'Horror', 'Mystery', 'Thriller']"
Pearlie,https://www.metacritic.com/tv/pearlie/,"It's magic in the city with Pearlie the park fairy! Pearlie is an animated comedy about a fashionable young urban fairy in charge of Jubilee Park, a park in the centre of a bustling big city. The series is based on the top-selling children's book series ""Pearlie the Park Fairy"" by legendary Australian comedian, author and radio personali...","['Action', 'Adventure', 'Family', 'Fantasy', '', '', '', '', 'Action', 'Adventure', 'Family', 'Fantasy']"
Percy Jackson And The Olympians,https://www.metacritic.com/tv/percy-jackson-and-the-olympians/,12-year-old Percy Jackson (Walker Scobell) just recently learned he is a demigod when Zeus accuses him of stealing his lightning bolt in the series based on the book series of the same name by Rick Riordan.,"['Action', 'Adventure', 'Family', 'Fantasy', '', '', '', '', 'Action', 'Adventure', 'Family', 'Fantasy']"
Mary Berry's Highland Christmas,https://www.metacritic.com/tv/mary-berrys-highland-christmas/,"Mary Berry cooks some of her favorite holiday recipes in Scotland with Andy Murray, Emeli Sandé, and Iain Stirling in this holiday special. [Premiered originally in the UK on 13 Dec 2024 on BBC One and in the US on 18 Dec 2023 on PBS]","['Reality-TV', '', 'Reality-TV']"
Gwyneth vs Terry: The Ski Crash Trial,https://www.metacritic.com/tv/gwyneth-vs-terry-the-ski-crash-trial/,"Originally planned as a two-part docuseries, the now one-hour documentary special looks at Gwyneth Paltrow's ski crash lawsuit against Terry Sanderson.","['Documentary', '', 'Documentary']"
Such Brave Girls,https://www.metacritic.com/tv/such-brave-girls/,The British sitcom about single mother Deb (Louise Brealey) and her two adult daughters Josie and Billie (Kat Sadler and Lizzie Davidson). [Premiered originally in the UK on BBC Three on 22 Nov 2023 and in the US on Hulu on 15 Dec 2023],"['Comedy', '', 'Comedy']"
Carol & The End of The World,https://www.metacritic.com/tv/carol-the-end-of-the-world/,The animated limited series from Dan Guterman follows Carol (voiced by Martha Kelly) during her final days on Earth.,"['Animation', 'Comedy', 'Drama', 'Sci-Fi', '', '', '', '', 'Animation', 'Comedy', 'Drama', 'Sci-Fi']"
Yu Yu Hakusho (2023),https://www.metacritic.com/tv/yu-yu-hakusho-2023/,Yusuke Urameshi (Takumi Kitamura) dies while saving a young child's life and is resurrected as a detective to find demons in the human world in the live-action series based on Yoshihiro Togashi's manga series of the same name (which also was adapted into the 1990s anime series).,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', '', '', '', '', '', 'Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy']"
Born in Synanon,https://www.metacritic.com/tv/born-in-synanon/,"The Geeta Gandbhir directed documentary features archival footage and interviews with former members including Cassidy Arkin about her family's time with Synanon, a rehab-center-turned-cult.","['Documentary', '', 'Documentary']"
Big Brother Reindeer Games,https://www.metacritic.com/tv/big-brother-reindeer-games/,"The holiday-themed six-episode special features nine previous Big Brother houseguests competing for the $100,000 grand prize.","['Reality-TV', '', 'Reality-TV']"
Culprits,https://www.metacritic.com/tv/culprits/,"Years ago, a heist crew led by Dianne Harewood (Gemma Arterton) steal £30 million and began new lives, but when someone begins killing them one by one, they reunite to find the killer in this thriller from J Blakeson. [Premiered originally in the UK on DIsney+ on 8 Nov 2023 and in the US on Hulu 8 Dec 2023]","['Comedy', 'Crime', 'Thriller', '', '', '', 'Comedy', 'Crime', 'Thriller']"
My Life With the Walter Boys,https://www.metacritic.com/tv/my-life-with-the-walter-boys/,"The adaptation of Ali Novak's coming-of-age novel of the same name follows recently orphaned 15-year-old Jackie Howard (Nikki Rodriguez) as she moves from New York to Colorado to live with the Walters, who have ten sons.","['Drama', 'Romance', '', '', 'Drama', 'Romance']"
Archie,https://www.metacritic.com/tv/archie/,The four-part drama about the life of Hollywood legend Cary Grant (Jason Isaacs) - who was born in England as Archibald Alexander Leach. [Premiered originally in the UK on ITV on 23 Nov 2023 and in the US on BritBox on 7 Dec 2023],"['Biography', 'Drama', '', '', 'Biography', 'Drama']"
The Lovers (2023),https://www.metacritic.com/tv/the-lovers-2023/,Belfast supermarket worker Janet (Roisin Gallagher) and political journalist Seamus (Johnny Flynn) fall in love in the comedy-drama series written by David Ireland. [Premiered in the UK on Sky Atlantic on 7 Sep 2023 and in the US on Sundance Now/AMC+ on 7 Dec 2023],"['Comedy', '', 'Comedy']"
John Lennon: Murder Without A Trial,https://www.metacritic.com/tv/john-lennon-murder-without-a-trial/,The three-part documentary series about John Lennon's murder is narrated by Kiefer Sutherland with interviews with detectives and witnesses as well as audio recordings of Lennon's killer Mark David Chapman.,"['Documentary', 'Crime', 'History', '', '', '', 'Documentary', 'Crime', 'History']"
"Murder In Boston: Roots, Rampage & Reckoning",https://www.metacritic.com/tv/murder-in-boston-roots-rampage-reckoning/,The three-part documentary series directed by Jason Hehir examines the 1989 case where Charles Stuart claimed he and his wife were shot in Boston by a black man before committing suicide when the case unraveled.,"['Documentary', 'Crime', 'History', '', '', '', 'Documentary', 'Crime', 'History']"
Bookie,https://www.metacritic.com/tv/bookie/,"The expansion of legalized sports betting is hurting Danny's (Sebastian Maniscalco) Los Angeles bookmaking business as he juggles his remaining clients, co-workers and family in this comedy series from Chuck Lorre and Nick Bakay.","['Comedy', '', 'Comedy']"
Obliterated,https://www.metacritic.com/tv/obliterated/,"A special forces team must locate a nuclear bomb in Las Vegas despite being under the influence in this action-comedy series from Jon Hurwitz, Hayden Schlossberg, and Josh Heald.","['Action', 'Comedy', 'Drama', '', '', '', 'Action', 'Comedy', 'Drama']"
Bad Surgeon: Love Under The Knife,https://www.metacritic.com/tv/bad-surgeon-love-under-the-knife/,"Italian surgeon Paolo Macchiarini, who was famous for regenerative surgeries until he was convicted of harming his patients in Sweden, is the focus of this three-part documentary series that features interviews with families of his victims, his former fiancée and former colleagues.","['Documentary', 'Crime', 'History', 'Mystery', '', '', '', '', 'Documentary', 'Crime', 'History', 'Mystery']"
The Artful Dodger,https://www.metacritic.com/tv/the-artful-dodger/,"In 1850s Australia, Jack Dawkins (Thomas Brodie-Sangster), aka The Artful Dodger, has begun a new life as a surgeon, but it is threatened by the arrival of Fagin (David Thewlis).","['Crime', 'Drama', 'History', '', '', '', 'Crime', 'Drama', 'History']"
Steeltown Murders,https://www.metacritic.com/tv/steeltown-murders/,"25 years later, DCI Paul Bethell (Philip Glenister) and DC Phil ""Bach"" Rees (Steffan Rhodri) use DNA to discover the identity of killer of three Welsh girl in 1973 in the four-part true-crime miniseries written by Ed Whitmore. [Premiered originally in the UK on BBC One on 15 May 2023 and in the US on Acorn TV on 27 Nov 2023]","['Crime', 'Drama', 'History', '', '', '', 'Crime', 'Drama', 'History']"
Faraway Downs,https://www.metacritic.com/tv/faraway-downs/,"Lady Sarah Ashley (Nicole Kidman) faces the challenges of running a cattle ranch she inherited and the threat of World War II with the help of a local drover (Hugh Jackman) in the six-episode series created from all the footage Baz Luhrmann shot for his 2008 film, Australia.","['Adventure', 'Drama', 'History', 'Romance', 'War', 'Western', '', '', '', '', '', '', 'Adventure', 'Drama', 'History', 'Romance', 'War', 'Western']"
Let Us Prey: A Ministry of Scandals,https://www.metacritic.com/tv/let-us-prey-a-ministry-of-scandals/,"The four-part documentary directed by Sharon Liese about sex abuse allegations in the Independent Fundamental Baptist Church features interviews with Fort Worth Star-Telegram reporter Sarah Smith, survivors, and church defectors.","['Documentary', '', 'Documentary']"
Squid Game: The Challenge,https://www.metacritic.com/tv/squid-game-the-challenge/,The reality competitive series based on the series Squid Game features 456 contestants competing to possibly win $4.56 million.,"['Game-Show', 'Reality-TV', '', '', 'Game-Show', 'Reality-TV']"
Hannah Waddingham: Home for Christmas,https://www.metacritic.com/tv/hannah-waddingham-home-for-christmas/,"The holiday special from Hannah Waddingham was filmed in London at the Coliseum and features appearances from Luke Evans, Leslie Odom Jr, Sam Ryder, the London Gay Men’s Chorus, the Fabulous Lounge Swingers, and a few of her fellow Ted Lasso cast members.","['Music', '', 'Music']"
Obituary,https://www.metacritic.com/tv/obituary/,"24-year-old Elvira Clancy (Siobhán Cullen) is paid by the number of obituaries she writes and finds herself ""accidently"" killing unpleasant locals, but the arrival of a new crime reporter (Ronan Raftery) brings challenges in the Irish dark comedy created and written by Ray Lawlor. [Premiered originally in Ireland on RTE on 26 Sep 2023...","['Comedy', 'Crime', 'Drama', '', '', '', 'Comedy', 'Crime', 'Drama']"
Kennedy,https://www.metacritic.com/tv/kennedy/,The three-part documentary series about John F. Kennedy's life and legacy is narrated by Peter Coyote features archival footage as well as interviews with his niece Kathleen Kennedy Townsend and nephew Anthony Shriver.,"['Documentary', 'Biography', 'History', '', '', '', 'Documentary', 'Biography', 'History']"
Monarch: Legacy of Monsters,https://www.metacritic.com/tv/monarch-legacy-of-monsters/,"After surviving Godzilla's attack on San Francisco (seen in 2014 film Godzilla), Cate (Anna Sawai) travels to Japan where she discovers her family's connection to the secret organization Monarch.","['Action', 'Adventure', 'Sci-Fi', '', '', '', 'Action', 'Adventure', 'Sci-Fi']"
Scott Pilgrim Takes Off,https://www.metacritic.com/tv/scott-pilgrim-takes-off/,Scott Pilgrim (voiced by Michael Cera) meets Ramona Flowers (voiced by Mary Elizabeth Winstead) and must defeat her seven exes if he wants to date her in the anime series based on Bryan Lee O'Malley's Scott Pilgrim graphic novel series (2010 film Scott Pilgrim vs. the World was also based on them).,"['Animation', 'Action', 'Adventure', 'Comedy', 'Fantasy', 'Music', 'Romance', '', '', '', '', '', '', '', 'Animation', 'Action', 'Adventure', 'Comedy', 'Fantasy', 'Music', 'Romance']"
House of Kardashian,https://www.metacritic.com/tv/house-of-kardashian/,"The three-part documentary series about the Kardashian-Jenner family's rise to reality TV fame features interviews with friends, colleagues and Caitlyn Jenner. [Premiered originally in the UK on Sky Documentaries on 8 Oct 2023 and in the US on Peacock on 16 Nov 2023]","['Documentary', '', 'Documentary']"
Brawn: The Impossible Formula One Story,https://www.metacritic.com/tv/brawn-the-impossible-formula-one-story/,The four-part sports documentary with Keanu Reeves about how Ross Brawn bought what would become Brawn GP from Honda in 2009 for £1 and win the Formula One World Championships that year. It includes interviews with members of the team and previously unseen footage.,"['Documentary', 'Sport', '', '', 'Documentary', 'Sport']"
