url,description,genres
https://www.metacritic.com/movie/the-informer/,Honorably discharged Special Ops soldier Pete Koslow's (Joel Kinnaman) world is turned upside-down when he is jailed after a fight to protect his wife (Ana de Armas). He's given a chance for early release by becoming an informant for the FBI (Rosamund Pike and Clive Owen) and using his covert skills in an operation to take down The Gener...,"['Action', 'Crime', 'Drama', 'Thriller', '', '', '', '', 'Action', 'Crime', 'Drama', 'Thriller']"
https://www.metacritic.com/movie/reign-over-me/,"Former college roommates Charlie Fineman (Sandler) and Alan Johnson (Cheadle) meet up again by chance on a Manhattan street corner. Five years after losing his family on 9/11, Charlie has retreated from his life, and Alan is stunned to see the changes in his formerly gregarious friend. At the same time, Alan who should be enjoying his be...","['Drama', '', 'Drama']"
https://www.metacritic.com/movie/triple-frontier/,"A group of former Special Forces operatives (Ben Affleck, Oscar Isaac, Charlie Hunnam, Garrett Hedlund and Pedro Pascal) reunite to plan a heist in a sparsely populated multi-border zone of South America. For the first time in their prestigious careers these unsung heroes undertake this dangerous mission for self instead of country. But ...","['Action', 'Thriller', '', '', 'Action', 'Thriller']"
https://www.metacritic.com/movie/somewhere-in-queens/,"Leo Russo (Ray Romano) lives a simple life in Queens, New York with his wife Angela (Laurie Metcalf), their shy but talented son “Sticks” (Jacob Ward), and Leo’s close-knit network of Italian-American relatives and neighborhood friends. Happy enough working at the family construction business alongside his father (Tony Lo Bianco) and you...","['Comedy', 'Drama', 'Sport', '', '', '', 'Comedy', 'Drama', 'Sport']"
https://www.metacritic.com/movie/the-jeffrey-dahmer-files/,"In the summer of 1991 Jeffrey Dahmer was arrested in Milwaukee and sentenced to 957 years in prison for killing 17 people and dismembering their bodies. Through the use of archival footage and interviews with the local medical examiner, police detective, and Dahmer's neighbors, this documentary explores the ordinary man behind the horri...","['Documentary', 'Biography', 'Crime', 'Drama', 'Mystery', '', '', '', '', '', 'Documentary', 'Biography', 'Crime', 'Drama', 'Mystery']"
https://www.metacritic.com/movie/the-man-with-two-brains/,"Widowed, world-famous neurosurgeon Michael Hfuhruhurr (Steve Martin) is trapped in a loveless marriage with Dolores Benedict (Kathleen Turner), who is interested only in Hfuhruhurr's money. On a trip to Vienna to attend a medical conference, Hfuhruhurr falls in love with a bottled brain (voiced by Sissy Spacek), and finds himself in the ...","['Comedy', 'Romance', 'Sci-Fi', '', '', '', 'Comedy', 'Romance', 'Sci-Fi']"
https://www.metacritic.com/movie/the-big-country/,"A New England sea captain in the 1880s arrives at his fiancée's sprawling Texas ranch, where he becomes embroiled in a feud between two families over a valuable patch of land.","['Drama', 'Romance', 'Western', '', '', '', 'Drama', 'Romance', 'Western']"
https://www.metacritic.com/movie/earwig/,"Albert is employed to look after Mia, a girl with teeth of ice. Mia never leaves their apartment, where the shutters are always closed. The telephone rings regularly and the Master enquires after Mia’s well-being. Until the day Albert is instructed that he must prepare the child to leave.","['Drama', 'Fantasy', 'Horror', '', '', '', 'Drama', 'Fantasy', 'Horror']"
https://www.metacritic.com/movie/the-secret-life-of-pets/,"Taking place in a Manhattan apartment building, Max's life as a favorite pet is turned upside down, when his owner brings home a sloppy mongrel named Duke. They have to put their quarrels behind, when they find out that an adorable white bunny named Snowball is building an army of abandoned pets determined to take revenge on all happy-ow...","['Animation', 'Adventure', 'Comedy', 'Family', '', '', '', '', 'Animation', 'Adventure', 'Comedy', 'Family']"
https://www.metacritic.com/movie/anchorman-2-the-legend-continues/,"With the 70s behind him, Ron Burgundy, San Diego's top rated newsman, returns to take the nation's first 24-hour news channel by storm.","['Comedy', '', 'Comedy']"
https://www.metacritic.com/movie/new-jack-city/,"Drug tycoon Nino Brown (Wesley Snipes) and his gang, the Cash Money Brothers, have rapidly risen to the top of the New York City narcotics trade. Under Nino's heartless leadership, the drug operation has grown into a multimillion-dollar empire. Scotty (Ice-T) and Nick (Judd Nelson), two police officers who know their way around the stree...","['Action', 'Crime', 'Drama', 'Thriller', '', '', '', '', 'Action', 'Crime', 'Drama', 'Thriller']"
https://www.metacritic.com/movie/the-jerk/,"Steve Martin, in his first starring motion picture, plays Navin Johnson, adopted son of a poor black sharecropper family, whose out-there inventions lead him from rags to riches and beyond. Along the way, he falls for a lady motorcycle racer, survives a series of screwball attacks by a deranged killer, and becomes a success by inventing ...","['Comedy', '', 'Comedy']"
https://www.metacritic.com/movie/the-motel-life/,"Based on the popular novel by Willy Vlautin, The Motel Life is a searing and profound examination of brotherhood set in the timeless Sierra Nevadan frontier. Frank (Emile Hirsch) and Jerry Lee Flannigan (Stephen Dorff) work odd jobs, drink hard, and drift from motel to motel. Their only escape is through Frank&acirc;","['Animation', 'Drama', 'Mystery', 'Thriller', '', '', '', '', 'Animation', 'Drama', 'Mystery', 'Thriller']"
https://www.metacritic.com/movie/lingua-franca/,"Olivia (Isabel Sandoval), an undocumented Filipino transwoman, works as a caregiver to Olga (Lynn Cohen), an elderly Russian woman, in Brighton Beach, Brooklyn. When Olivia runs out of options to attain legal status in the US, she becomes romantically involved with Alex (Eamon Farren), Olga's adult grandson, in the pursuit of a marriage-...","['Drama', '', 'Drama']"
https://www.metacritic.com/movie/el-bulli-cooking-in-progress/,"Three-star chef Ferran Adrià is widely considered the best, most innovative and craziest chef in the world. In his kitchen, that which was once familiar disintegrates. Each year his restaurant El Bulli closes for half a year – time for Adrià and his team to retire to his Barcelona cooking laboratory to create the new menu for the coming ...","['Documentary', '', 'Documentary']"
https://www.metacritic.com/movie/sputnik/,"Due to her controversial methods, young doctor Tatiana Yurievna (Oksana Akinshina) is on the precipice of losing her medical license. Her career may not be over, though. After she’s recruited by the military, Tatiana is brought to a secure science research facility to assess a very special case, that of Konstantin Sergeyevich (Pyotr Fyod...","['Drama', 'Horror', 'Mystery', 'Sci-Fi', 'Thriller', '', '', '', '', '', 'Drama', 'Horror', 'Mystery', 'Sci-Fi', 'Thriller']"
https://www.metacritic.com/movie/dont-bother-to-knock/,"After being dumped by his girlfriend, an airline pilot pursues a babysitter in his hotel and gradually realizes she's dangerous.","['Drama', 'Film-Noir', 'Mystery', 'Thriller', '', '', '', '', 'Drama', 'Film-Noir', 'Mystery', 'Thriller']"
https://www.metacritic.com/movie/the-yes-men-are-revolting/,"For the last 20 years, notorious activists the Yes Men have staged outrageous and hilarious hoaxes to draw international attention to corporate crimes against humanity and the environment. Armed with nothing but thrift-store suits and a lack of shame, these iconoclastic revolutionaries lie their way into business events and government fu...","['Documentary', '', 'Documentary']"
https://www.metacritic.com/movie/babylon-2022/,"From Damien Chazelle, Babylon is an original epic set in 1920s Los Angeles led by Brad Pitt, Margot Robbie and Diego Calva, with an ensemble cast including Jovan Adepo, Li Jun Li and Jean Smart. A tale of outsized ambition and outrageous excess, it traces the rise and fall of multiple characters during an era of unbridled decadence and d...","['Comedy', 'Drama', 'History', '', '', '', 'Comedy', 'Drama', 'History']"
https://www.metacritic.com/movie/cool-it/,"Award-winning filmmaker Ondi Timoner trains her camera on Bjorn Lomborg, the controversial author of “The Skeptical Environmentalist,” who takes on the issue of climate change, challenging the status quo, and pointing toward new science and technology that might hold the solutions for our future. (Roadside Attractions)","['Documentary', '', 'Documentary']"
