url,description,genres
https://www.metacritic.com/movie/dekalog-1988/,"This masterwork by Krzysztof Kieślowski is one of the twentieth century’s greatest achievements in visual storytelling. Originally made for Polish television, Dekalog focuses on the residents of a housing complex in late-Communist Poland, whose lives become subtly intertwined as they face emotional dilemmas that are at once deeply person...","['Drama', '', 'Drama']"
https://www.metacritic.com/movie/the-leopard-re-release/,"Set in Sicily in 1860, Luchino Visconti's spectacular 1963 adaptation of Giuseppe di Lampedusa's international bestseller is one of the cinema's greatest evocations of the past, achingly depicting the passing of an ancient order. (Film Forum)","['Drama', 'History', '', '', 'Drama', 'History']"
https://www.metacritic.com/movie/the-godfather/,"Francis Ford Coppola's epic features Marlon Brando in his Oscar-winning role as the patriarch of the Corleone family. Director Coppola paints a chilling portrait of the Sicilian clan's rise and near fall from power in America, masterfully balancing the story between the Corleone's family life and the ugly crime business in which they are...","['Crime', 'Drama', '', '', 'Crime', 'Drama']"
https://www.metacritic.com/movie/tokyo-story/,"Yasujiro Ozu’s Tokyo Story follows an aging couple, Tomi and Sukichi, on their journey from their rural village to visit their two married children in bustling, postwar Tokyo. Their reception is disappointing: too busy to entertain them, their children send them off to a health spa. After Tomi falls ill she and Sukichi return home, while...","['Drama', '', 'Drama']"
https://www.metacritic.com/movie/three-colors-red/,"Krzysztof Kieslowski closes his Three Colors trilogy in grand fashion, with an incandescent meditation on fate and chance, starring Irène Jacob as a sweet-souled yet somber runway model in Geneva whose life dramatically intersects with that of a bitter retired judge, played by Jean-Louis Trintignant. Meanwhile, just down the street, a se...","['Drama', 'Mystery', 'Romance', '', '', '', 'Drama', 'Mystery', 'Romance']"
https://www.metacritic.com/movie/rear-window/,A wheelchair-bound photographer spies on his neighbours from his apartment window and becomes convinced one of them has committed murder.,"['Mystery', 'Thriller', '', '', 'Mystery', 'Thriller']"
https://www.metacritic.com/movie/boyhood/,"Filmed over 12 years with the same cast, Richard Linklater's Boyhood is a groundbreaking story of growing up as seen through the eyes of a child named Mason (Ellar Coltrane), who literally grows up on screen before our eyes. Starring Ethan Hawke and Patricia Arquette as Mason's parents and newcomer Lorelei Linklater as his sister Samanth...","['Drama', '', 'Drama']"
https://www.metacritic.com/movie/casablanca/,"A Casablanca, Morocco casino owner in 1941 shelters his former lover and her husband, a Czechoslovakian freedom fighter, from the Nazis.","['Drama', 'Romance', 'War', '', '', '', 'Drama', 'Romance', 'War']"
https://www.metacritic.com/movie/citizen-kane-1941/,"Following the death of a publishing tycoon, news reporters scramble to discover the meaning of his final utterance.","['Drama', 'Mystery', '', '', 'Drama', 'Mystery']"
https://www.metacritic.com/movie/lawrence-of-arabia-re-release/,"The 40th anniversary re-release of David Lean's 1962 masterpiece, starring Peter O'Toole in one of the most electrifying debuts in film history.","['Adventure', 'Biography', 'Drama', 'War', '', '', '', '', 'Adventure', 'Biography', 'Drama', 'War']"
https://www.metacritic.com/movie/the-conformist-re-release/,"Set in Rome in the 1930s, this re-release of Bernardo Bertolucci's 1970 breakthrough feature stars Jean-Louis Trintignant as a Mussolini operative sent to Paris to locate and eliminate an old professor who fled Italy when the fascists came to power.","['Drama', '', 'Drama']"
https://www.metacritic.com/movie/vertigo-1958/,"Vertigo creates a dizzying web of mistaken identity, passion and murder after an acrophobic detective rescues a mysterious blonde from the bay. [Universal Pictures]","['Mystery', 'Romance', 'Thriller', '', '', '', 'Mystery', 'Romance', 'Thriller']"
https://www.metacritic.com/movie/notorious-1946/,A woman is asked to spy on a group of Nazi friends in South America. How far will she have to go to ingratiate herself with them?,"['Drama', 'Film-Noir', 'Romance', 'Thriller', '', '', '', '', 'Drama', 'Film-Noir', 'Romance', 'Thriller']"
https://www.metacritic.com/movie/fanny-and-alexander-re-release/,"Set in Sweden in the early 20th century, this film focuses on the young children of a wealthy, theatrical family.","['Drama', '', 'Drama']"
https://www.metacritic.com/movie/singin-in-the-rain/,A silent film production company and cast make a difficult transition to sound.,"['Comedy', 'Musical', 'Romance', '', '', '', 'Comedy', 'Musical', 'Romance']"
https://www.metacritic.com/movie/playtime/,"Monsieur Hulot curiously wanders around a high-tech Paris, paralleling a trip with a group of American tourists. Meanwhile, a nightclub/restaurant prepares its opening night, but it's still under construction.","['Comedy', '', 'Comedy']"
https://www.metacritic.com/movie/army-of-shadows/,"Making its U.S. debut, Jean-Pierre Melville's 1969 Army of Shadows is an intimate epic of the French Resistance in WWII.","['Drama', 'War', '', '', 'Drama', 'War']"
https://www.metacritic.com/movie/city-lights/,The Tramp (Charlie Chaplin) struggles to help a blind flower girl he has fallen in love with.,"['Comedy', 'Drama', 'Romance', '', '', '', 'Comedy', 'Drama', 'Romance']"
https://www.metacritic.com/movie/moonlight-2016/,"Moonlight is the tender, heartbreaking story of a young man’s struggle to find himself, told across three defining chapters in his life as he experiences the ecstasy, pain, and beauty of falling in love, while grappling with his own sexuality.","['Drama', '', 'Drama']"
https://www.metacritic.com/movie/intolerance/,"The story of a poor young woman, separated by prejudice from her husband and baby, is interwoven with tales of intolerance from throughout history.","['Drama', 'History', '', '', 'Drama', 'History']"
https://www.metacritic.com/movie/the-rules-of-the-game/,"A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau.","['Comedy', 'Drama', '', '', 'Comedy', 'Drama']"
https://www.metacritic.com/movie/pinocchio-1940/,"A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy.","['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical', '', '', '', '', '', '', 'Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']"
https://www.metacritic.com/movie/touch-of-evil/,"This film noir portrait of corruption and morally-compromised obsessions stars Welles as Hank Quinlan, a crooked police chief who frames a Mexican youth as part of an intricate criminal plot. Charlton Heston plays an honorable Mexican narcotics investigator who clashes with the bigoted Quinlan after probing into his dark past. A memorabl...","['Crime', 'Drama', 'Film-Noir', 'Thriller', '', '', '', '', 'Crime', 'Drama', 'Film-Noir', 'Thriller']"
https://www.metacritic.com/movie/seven-samurai-1954/,Seven Samurai (Shichinin no samurai) tells the story of a sixteenth-century village whose desperate inhabitants hire the eponymous warriors to protect them from invading bandits.,"['Action', 'Drama', '', '', 'Action', 'Drama']"
https://www.metacritic.com/movie/the-wild-bunch/,"An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them.","['Action', 'Adventure', 'Drama', 'Western', '', '', '', '', 'Action', 'Adventure', 'Drama', 'Western']"
https://www.metacritic.com/movie/au-hasard-balthazar/,Robert Bresson's 1966 film focuses on the story of the donkey Balthazar and the people around him.,"['Drama', '', 'Drama']"
https://www.metacritic.com/movie/the-lady-vanishes-1938/,"While travelling in continental Europe, a rich young playgirl realizes that an elderly lady seems to have disappeared from the train.","['Mystery', 'Thriller', '', '', 'Mystery', 'Thriller']"
https://www.metacritic.com/movie/pepe-le-moko-re-release/,A re-release of Julien Divivier's 1937 romantic crime classic.,"['Crime', 'Drama', 'Romance', '', '', '', 'Crime', 'Drama', 'Romance']"
https://www.metacritic.com/movie/the-treasure-of-the-sierra-madre/,"Fred Dobbs and Bob Curtin, two Americans searching for work in Mexico, convince an old prospector to help them mine for gold in the Sierra Madre Mountains.","['Adventure', 'Drama', 'Western', '', '', '', 'Adventure', 'Drama', 'Western']"
https://www.metacritic.com/movie/pans-labyrinth/,"Following a bloody civil war, young Ofelia enters a world of unimaginable cruelty when she moves in with her new stepfather, a tyrannical military officer. Armed with only her imagination, Ofelia discovers a mysterious labyrinth and meets a faun who sets her on a path to saving herself and her ailing mother. But soon, the lines between f...","['Drama', 'Fantasy', 'War', '', '', '', 'Drama', 'Fantasy', 'War']"
https://www.metacritic.com/movie/some-like-it-hot/,"When two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.","['Comedy', 'Music', 'Romance', '', '', '', 'Comedy', 'Music', 'Romance']"
https://www.metacritic.com/movie/north-by-northwest/,"A hapless New York advertising executive is mistaken for a government agent by a group of foreign spies, and is pursued across the country while he looks for a way to survive.","['Action', 'Adventure', 'Mystery', 'Thriller', '', '', '', '', 'Action', 'Adventure', 'Mystery', 'Thriller']"
